Album,Artist,Genre,Label,Producer,Release Date,Meta Score
Life Without Sound,Cloud Nothings,"['noise rock', 'indie rock', 'pop rock', 'post hardcore', 'punk rock']","['carpark records', 'wichita', 'carpark']",['john goodmanson'],Jan 27 2017,79.0
Near to the Wild Heart of Life,Japandroids,"['pop punk', 'indie rock', 'garage punk', 'pop rock', 'noise pop']",['anti'],['japandroids'],Jan 27 2017,79.0
Red Pill Blues,Maroon 5,"['pop rock', 'soft rock', 'funk', 'r&b', 'pop']","['interscope', '222 records']","['jason evigan', 'tms', 'j kash', 'sam farrar', 'king henry', 'phil paul', 'benny blanco', 'adam levine', 'noah passovoy', 'cirkut', 'ricky reed', 'julien bunetta', 'ben billions', 'charlie puth', 'ryan ogren', 'ozgo', 'the arcade', 'diplo', 'john ryan', 'afterhrs', 'louie lastic', 'nick bailey']",Nov 3 2017,58.0
Lemon Memory,Menace Beach,"['surf punk', 'pop rock', 'indie rock']","['memphis', 'memphis industries']",,Jan 20 2017,67.0
Return to Ommadawn,Mike Oldfield,"['folk', 'world music', 'new age', 'progressive rock']",['virgin emi'],['mike oldfield'],Jan 20 2017,64.0
Tourist in This Town,Allison Crutchfield,"['synth pop', 'pop rock', 'indie rock']",['merge'],"['allison crutchfiel', 'jeff zeigler']",Jan 27 2017,82.0
Nothing Feels Natural,Priests,"['pop rock', 'punk rock']","['revolver music', 'sister polygon']",,Jan 27 2017,83.0
SweetSexySavage,Kehlani,"['r&b', 'alternative r&b']",['atlantic'],"['autoro ""toro"" whitfield', 'nick seeley', 'jmike', 'charlie heat', 'composer', 'matt campfield', 'picard brothers', 'pop & oak', 'djemba djemba', 'danny klein', 'jahaan sweet', 'the featherstones', 'p lo', 'red kudo', 'zaire koalo', 'novawav', 'trevor brown']",Jan 27 2017,76.0
Gods of Violence,Kreator,"['pop rock', 'thrash metal']",['nuclear blast'],['jens bogren'],Jan 27 2017,73.0
All These Countless Nights,Deaf Havana,"['pop rock', 'rock']",['so recordings'],,Jan 27 2017,73.0
South Texas Suite [EP],Whitney Rose,['country'],"['six shooter records', 'thirty tigers', 'six shooter']",['whitney rose'],Jan 27 2017,76.0
"Chill, Dummy",P.O.S,"['hip hop', 'alternative hip hop', 'rap']","['doomtree', 'doomtree records']","['ryan olson', 'cory grindberg', 'makr', 'p.o.s', 'lazerbeak']",Jan 27 2017,83.0
Piano Song,Matthew Shipp Trio,['jazz'],['thirsty ear'],['peter gordon'],Jan 27 2017,77.0
Intoxicated Women,Mick Harvey,['pop rock'],['mute'],,Jan 20 2017,79.0
Epoch,Tycho,"['ambient', 'electronic', 'post rock']",['ghostly international'],['scott hansen'],Sept 30 2016,76.0
Future Politics,Austra,"['synth pop', 'pop rock', 'new wave', 'house']",['domino'],"['alice wilder', 'maya postepski', 'katie stelmanis']",Jan 20 2017,74.0
Hang,Foxygen,"['pop rock', 'baroque pop', 'glam rock']",['jagjaguwar'],['foxygen'],Jan 20 2017,76.0
A Shadow in Time,William Basinski,"['ambient', 'drone', 'electronic']","['2062 records', 'temporary residence']",['william basinski'],Jan 20 2017,84.0
Modern Ruin,Frank Carter & the Rattlesnakes,"['pop rock', 'alternative rock', 'hardcore punk', 'punk rock']",['international death cult'],['thomas mitchener'],Jan 20 2017,74.0
Apocalipstick,Cherry Glazerr,"['pop rock', 'indie rock']",['secretly canadian'],"['joe chiccarelli', 'carlos de la garza']",Jan 20 2017,76.0
Yesterday's Gone,Loyle Carner,"['hip hop', 'rap']",['virgin emi'],,Jan 20 2017,84.0
Oczy Mlody,The Flaming Lips,"['pop rock', 'electronic', 'experimental rock', 'neo psychedelia', 'dream pop']","['bella union', 'warner bros.']","['dave fridmann', 'the flaming lips', 'scott booker']",Jan 13 2017,69.0
I See You,The xx,"['pop rock', 'dream pop', 'indie rock', 'alternative dance']",['young turks'],"['rodaidh mcdonald', 'jamie xx']",Jan 13 2017,85.0
Rennen,Sohn,['electronic'],['4ad'],,Jan 13 2017,67.0
"Gentlewoman, Ruby Man",Flo Morrissey and Matthew E. White,"['pop rock', 'rock', 'indie rock', 'pop']","['glassnote entertainment group', 'glassnote']",,Jan 13 2017,73.0
Migration,Bonobo,['electronic'],['ninja tune'],,Jan 13 2017,77.0
Machine Messiah,Sepultura,"['death metal', 'pop rock', 'groove metal', 'thrash metal']",['nuclear blast'],['jens bogren'],Jan 13 2017,76.0
Forever,Code Orange,"['pop rock', 'metalcore']","['roadrunner records', 'roadrunner']","['kurt ballou', 'will yip']",Jan 13 2017,87.0
Godfather,Wiley,"['grime', 'electronic']","['cta records', 'wiley']","['mr virgo', 'darq e freaker', 'rude kid', 'swifta beater', 'kid d', 'mucky', 'wiley', 'teeza', 'preditah', 'teddy', 'jme', 'noizboiz']",Jan 13 2017,84.0
Up and Coming,John Abercrombie Quartet,['jazz'],['ecm'],,Jan 13 2017,80.0
Feel Your Feelings Fool!,The Regrettes,"['pop rock', 'punk rock']","['warner music', 'warner bros.']",['mike elizondo'],Jan 13 2017,82.0
11 Short Stories Of Pain & Glory,Dropkick Murphys,"['celtic punk', 'pop rock', 'folk punk']","['dropkick murphys', 'born & bred records']",['ted hutt'],Jan 6 2017,76.0
Youth Is Only Ever Fun in Retrospect,Sundara Karma,"['pop rock', 'indie rock']",['sony music'],,Jan 6 2017,67.0
Echolocation,Gone Is Gone,['pop rock'],"['rise', 'black dune']",,Jan 6 2017,66.0
Unapologetically,Kelsea Ballerini,"['country pop', 'pop']","['black river entertainment', 'black river']","['forest glen whitehead', 'jason massey']",Nov 3 2017,74.0
Night People,You Me at Six,"['pop rock', 'hard rock', 'rock and roll']","['prospect park', 'virgin', 'bmg']",['jacquire king'],Jan 6 2017,67.0
Reflection,Brian Eno,"['ambient', 'electronic']",['warp'],['brian eno'],Jan 1 2017,75.0
"Passion, Pain & Demon Slayin'",Kid Cudi,"['hip hop', 'rap']","['republic', 'wicked awesome']","['mike will made it', 'pharrell williams', 'plain pat', 'kid cudi', 'mike dean', 'a+', 'anthony kilhoffer', 'j gramm', 'dot da genius', 'idle kid']",Dec 16 2016,70.0
Fireplace: TheNotTheOtherSide,Hodgy,"['hip hop', 'rap']","['odd future', 'red']","['88 keys', 'jonti', 'nottz', 'unknown mortal orchestra', 'knxwledge', 'badbadnotgood', 'rahki']",Dec 9 2016,69.0
Not the Actual Events [EP],Nine Inch Nails,"['pop rock', 'industrial rock']",['the null corporation'],"['atticus ross', 'trent reznor']",Dec 23 2016,74.0
Do What Thou Wilt.,Ab-Soul,"['hip hop', 'rap']",['top dawg'],"['dj fu', 'asap p on the boards', 'francisgotheat', 'juice of all trades', 'tae beast', 'dave free', 'skhye hutch', 'sounwave', 'wondagurl', 'pakkmusicgroup', 'antydote', 'bentley haze', 'tommy black', 'willie b.', 'anthony tiffith', 'rahki']",Dec 9 2016,64.0
Peace Trail,Neil Young,"['pop rock', 'rock']",['reprise'],"['neil young', 'john hanlon']",Dec 9 2016,57.0
4 Your Eyez Only,J. Cole,"['hip hop', 'rap']","['roc nation', 'dreamville']","['theo crocker', 'deputy', 'ibrahim hamad', 'velous', 'frank dukes', 'peter cottontale', 'cardiak', 'nico segal', 'ron gilmore', 'j. cole', 'blvk', 'childish major', 'vinylz', 'nate fox', 'nate jones', 'steve lacy', 'chargaux', 'elite', 'boi 1da', 'elijah scarlett']",Dec 9 2016,75.0
Oxygene 3,Jean Michel Jarre,['electronic'],['sony'],['jean michel jarre'],Dec 2 2016,65.0
Blue and Lonesome,The Rolling Stones,"['blues', 'pop rock']","['interscope', 'polydor']","['the glimmer twins', 'don was']",Dec 2 2016,82.0
Hamburg Demonstrations,Peter Doherty,['pop rock'],"['clouds hill', 'bmg']",['johann scheerer'],Dec 2 2016,67.0
Darkness and Light,John Legend,"['soul', 'r&b']","['columbia', 'good']","['john ryan', 'eg white', 'ludwig göransson', 'bloodpop', 'the belle brigade', 'miguel', 'blake mills', 'greg kurstin']",Dec 2 2016,76.0
"""Awaken, My Love!""",Childish Gambino,"['psychedelic rock', 'funk', 'soul', 'r&b', 'rap', 'psychedelic soul']","['glassnote entertainment group', 'glassnote']","['childish gambino', 'ludwig göransson']",Dec 2 2016,77.0
The Hamilton Mixtape,Various Artists,"['stage & screen', 'dancehall', 'soul', 'r&b', 'hip hop']",['atlantic'],"['andy thompson', 'bill sherman', 'john legend', 'tony esterly', 'francis farewell starlite', 'leo abrahams', 'frequency', 'emile haynie', 'jason halbert', '!llmind', 'alicia keys', 'the roots', 'aaron pearce', 'regina spektor', 'id labs', 'the social experiment', 'trooko', 'supa dups', 'j.period', 'shockwave', 'lin manuel miranda', 'mike elizondo', 'stro elliot']",Dec 2 2016,77.0
W:/2016ALBUM/,Deadmau5,"['electro house', 'progressive house', 'electronic']","['mau5trap', 'kobalt']",['joel zimmerman'],Dec 2 2016,63.0
This Girl's in Love: A Bacharach and David Songbook,Rumer,"['pop rock', 'pop']","['east west', 'rhino', 'warner bros.']",,Nov 25 2016,71.0
Starboy,The Weeknd,['r&b'],"['republic', 'xo']","['prince 85', 'cashmere cat', 'doc mckinney', 'frank dukes', 'benny blanco', 'dan wilson', 'cirkut', 'ali payami', 'ben billions', 'max martin', 'metro boomin', 'diplo', 'the weeknd', 'peter svensson', 'savan kotecha', 'daheala', 'jake one', 'labrinth', 'mano', 'daft punk', 'ali shaheed muhammad', 'sir sylan']",Nov 25 2016,67.0
Gunslinger,Garth Brooks,['country'],['pearl'],['mark miller'],Nov 25 2016,65.0
Hardwired... to Self-Destruct,Metallica,"['thrash metal', 'heavy metal']","['blackened recordings', 'rhino']","['james hetfield', 'greg fidelman', 'lars ulrich']",Nov 18 2016,73.0
Woman,Justice,"['electro', 'electronic', 'funk', 'nu disco']","['ed banger', 'because', 'because music']",['justice'],Nov 18 2016,69.0
The Weight of These Wings,Miranda Lambert,['country'],['rca nashville'],"['glenn worf', 'eric masse', 'frank liddell']",Nov 18 2016,81.0
An Odd Entrances,Thee Oh Sees,"['pop rock', 'psychedelic rock', 'garage rock']",['castle face'],,Nov 18 2016,70.0
